Label	Description
absr	The absorption coefficient for each beam, given in units of dB re m^-1 [ABSorRption]
acca	Acoustic cross sectional area of the fish [ACoustic Cross sectional Area]
acfq	Frequency of the alternating current [AC-FreQuency]
allb	The sum of the product of sv and volume in the 5 by 5 (angular) by 7 (radial) neighbourhood centered at the voxel containing the calibration sphere [ALL Backscatter]
angl	The alongship electrical (calibration) angle, which in the SIMRAD MS70 coordinate system is atwarth ship [ANGle aLongship]
ango	The angle in the x-y-plane, of the object enclosing the school [ANGle of Object]
angt	The atwarth ship electrical (calibration) angle, which in the SIMRAD MS70 coordinate system is alongship [ANGle aTwarthship]
anio	The angle of incidence to the object enclosing the school [ANgle of Incidence of Object]
aniS	The angle of incidence to the school [ANgle of Incidence to School]
asps	Average speed of sound [Average SPeed of Sound]
aspS	Average speed of the school, only used when schools are given by their initial position, and heading and speed are used to extrapolate to other time steps [Average SPeed of School]
b0cJ	A five column matrix, where (1) the first column is the relative lower schooling threshold s_beta0 grid values used in the Bayesian segmentation method introduced by Holmin/Korneliussen/Tj{\o}stheim (2013), (2) the second column is the segmentation threshold c corresponding to the values in the first column, estimated by extracting the value of c for which the mean of Jaccard value of the schools of SNR>1\e{2} and volume>1\e{5} cubic meters for each value of s_beta0, (3 and 4) the third and fourth column are the first and the second column expressed in decibel, and (5) the fifth column is the maximum Jaccard at each combination [Beta0, C used in Holmin et al. 2013: Improved morphological fish school characterization using simulations of multibeam sonar data, Jaccard similarity coefficient between theoretical and Bayesian segmentation masks]
badb	A vector of zeros and ones, where 1 represents beams affected by the periodic noise [BAD Beams]
BEGP	The starting values for the optimization of periodic noise corresponding to <pns1> * 10^-14 (scaling required for the optimization), <pns2> and <pns3> [BEGining values of Parameters]
bg0M	A matrix of background noise levels for each beam and each recording, calculated as the simple mean of each beam (without regard for periodic noise) [BackGround noise, 0 periodic noise, in Matrix]
bgn0	A vector of background noise levels for each beam, calculated as the simple mean of each beam over all recordings (without regard for periodic noise) [BackGround Noise, 0 periodic noise]
bgnM	A matrix of background noise levels for each beam and each recording [BackGround Noise, in Matrix]
bgns	A vector of background noise levels for each beam [BackGround NoiSe]
bmmd	A vector of beam modes (0: approximately horizontally oriented disc, like fishery sonar, 1: downward oriented echosounder, 2: downward oriented fan, 3: 3-D sonar, not vertical) [BeaM MoDe]
bpt1	The transducer at emission beam pattern funciton of three variables, azimuth and elevation angle, the product of wavenumber and size, and the side lobe level factor <sllf> [Beam PaTtern of the Fish]
bpt2	The transducer at reception beam pattern funciton of three variables, azimuth and elevation angle, the product of wavenumber and size, and the side lobe level factor <sllf> [Beam PaTtern of the Fish]
bptf	The fish beam pattern funciton of four variables, azimuth and elevation angle, and the product of wavenumber and size [Beam PaTtern of the Fish]
bscs	The sum of the sv values of the cluster of voxels containing the calibration sphere [BackScatter Cluster Size]
bvbs	The sum of the product of sv and volume of 7 voxels along every beam [Beam Volume BackScattering]
bwG1	See <bwGp> [BandWidth of Gaussian kernel for smoothing the probabilities along the 1. dimension]
bwG2	See <bwGp> [BandWidth of Gaussian kernel for smoothing the probabilities along the 2. dimension]
bwG3	See <bwGp> [BandWidth of Gaussian kernel for smoothing the probabilities along the 3. dimension]
bwGp	Standard deviation of the 3-D Gaussian kernel used when smoothing the probabilities in the Bayesian segmentation method. Composed of the three elements x=bwG1, y=bwG2, z=bwG3 (should be changed to SDGp in the future, to avoid confusion with beam width) [BandWidth of Gaussian kernel for smoothing the Probabilities]
bwth	A vector of horizontal beam widths of the entire fan of SX90, given in degrees [BeamWidTh Horizontal]
bwtv	A vector of vertical beam widths of the entire fan of SX90, given in degrees [BeamWidTh Vertical]
bwtl	A vector of beam widths of the beams alongship, given in degrees [BeamWidTh aLongship]
